




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	9_Liver_Hyperphagia_SpecificSwitches.txt (Homo sapiens)
Reference List:	Liver_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Liver_Background_AllMultiIsoGenes.txt - REFLIST (6232)	9_Liver_Hyperphagia_SpecificSwitches.txt (54)	9_Liver_Hyperphagia_SpecificSwitches.txt (expected)	9_Liver_Hyperphagia_SpecificSwitches.txt (over/under)	9_Liver_Hyperphagia_SpecificSwitches.txt (fold Enrichment)	9_Liver_Hyperphagia_SpecificSwitches.txt (raw P-value)	9_Liver_Hyperphagia_SpecificSwitches.txt (FDR)
delta-catenin binding (GO:0070097)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fructose-6-phosphate binding (GO:0070095)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
frizzled binding (GO:0005109)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
carnosine synthase activity (GO:0047730)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fibroblast growth factor receptor binding (GO:0005104)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor (GO:0016668)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity (GO:0004018)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on a sulfur group of donors (GO:0016667)	24	0	.21	-	 < 0.01	1.00E00	1.00E00
adenylate kinase activity (GO:0004017)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase activity (GO:0004016)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
adenosylmethionine decarboxylase activity (GO:0004014)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on other nitrogenous compounds as donors, oxygen as acceptor (GO:0016663)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on other nitrogenous compounds as donors, cytochrome as acceptor (GO:0016662)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glutaryl-CoA hydrolase activity (GO:0044466)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on other nitrogenous compounds as donors (GO:0016661)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
MHC class I protein binding (GO:0042288)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
MHC protein binding (GO:0042287)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
xylosyltransferase activity (GO:0042285)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
chloride-activated potassium channel activity (GO:0070089)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity (GO:0042283)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chromo shadow domain binding (GO:0070087)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
2-alkenal reductase (NADP+) activity (GO:0035798)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity (GO:0042281)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dehydrodolichyl diphosphate synthase activity (GO:0045547)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
syndecan binding (GO:0045545)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)	16	0	.14	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor (GO:0016653)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H, NAD(P) as acceptor (GO:0016652)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on NAD(P)H (GO:0016651)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
adenosine kinase activity (GO:0004001)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
adenosine deaminase activity (GO:0004000)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
efflux transmembrane transporter activity (GO:0015562)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
RNA trimethylguanosine synthase activity (GO:0071164)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin-dependent protein kinase activating kinase activity (GO:0019912)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
structural constituent of myelin sheath (GO:0019911)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
bis(5'-adenosyl)-triphosphatase activity (GO:0047710)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sphingolipid binding (GO:0046625)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
sphingolipid transporter activity (GO:0046624)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH group of donors, quinone or similar compound as acceptor (GO:0016649)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH group of donors, oxygen as acceptor (GO:0016647)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor (GO:0016641)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
C4-dicarboxylate transmembrane transporter activity (GO:0015556)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
biotinidase activity (GO:0047708)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proline-rich region binding (GO:0070064)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
3-hydroxyacyl-CoA dehydratase activity (GO:0018812)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA polymerase binding (GO:0070063)	41	0	.36	-	 < 0.01	1.00E00	1.00E00
fructose binding (GO:0070061)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-NH2 group of donors (GO:0016638)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor (GO:0016635)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor (GO:0016634)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
RNA strand annealing activity (GO:0033592)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
thrombospondin receptor activity (GO:0070053)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
fibrinogen binding (GO:0070051)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor (GO:0016628)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors (GO:0016627)	31	0	.27	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor (GO:0016624)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
calcium-independent protein kinase C activity (GO:0004699)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the aldehyde or oxo group of donors, oxygen as acceptor (GO:0016623)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
calcium-dependent protein kinase C activity (GO:0004698)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
protein kinase C activity (GO:0004697)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)	17	0	.15	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 2alpha kinase activity (GO:0004694)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cyclin-dependent protein serine/threonine kinase activity (GO:0004693)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
CDP-diacylglycerol-phosphatidylglycerol phosphatidyltransferase activity (GO:0043337)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cGMP-dependent protein kinase activity (GO:0004692)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cAMP-dependent protein kinase activity (GO:0004691)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cyclic nucleotide-dependent protein kinase activity (GO:0004690)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
Unclassified (UNCLASSIFIED)	210	0	1.82	-	 < 0.01	2.64E-01	1.00E00
hydroxypyruvate reductase activity (GO:0016618)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dynein intermediate chain binding (GO:0045505)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	48	0	.42	-	 < 0.01	1.00E00	1.00E00
dynein heavy chain binding (GO:0045504)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
malate dehydrogenase activity (GO:0016615)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
dynein light chain binding (GO:0045503)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on CH-OH group of donors (GO:0016614)	54	0	.47	-	 < 0.01	1.00E00	1.00E00
phosphorylase kinase activity (GO:0004689)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
myosin light chain kinase activity (GO:0004687)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
elongation factor-2 kinase activity (GO:0004686)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hexose-phosphate:inorganic phosphate antiporter activity (GO:0015526)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
calmodulin-dependent protein kinase activity (GO:0004683)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,4-bisphosphate binding (GO:0043325)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
rRNA (guanosine-2'-O-)-methyltransferase activity (GO:0070039)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
telomerase RNA binding (GO:0070034)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
AMP-activated protein kinase activity (GO:0004679)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA-dependent protein kinase activity (GO:0004677)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transmembrane receptor protein serine/threonine kinase activity (GO:0004675)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
protein histidine kinase activity (GO:0004673)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein tag (GO:0031386)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
nitric oxide binding (GO:0070026)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transmembrane receptor protein tyrosine kinase activator activity (GO:0030297)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
carbon monoxide binding (GO:0070025)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein tyrosine kinase activator activity (GO:0030296)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
receptor signaling protein tyrosine kinase inhibitor activity (GO:0030294)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transmembrane receptor protein tyrosine kinase inhibitor activity (GO:0030293)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein tyrosine kinase inhibitor activity (GO:0030292)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
protein serine/threonine kinase inhibitor activity (GO:0030291)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
histone H3-tri/di/monomethyl-lysine-4 demethylase activity (GO:0034647)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
protein deacetylase activity (GO:0033558)	16	0	.14	-	 < 0.01	1.00E00	1.00E00
prostaglandin-D synthase activity (GO:0004667)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
prostaglandin-endoperoxide synthase activity (GO:0004666)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Rab geranylgeranyltransferase activity (GO:0004663)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
CAAX-protein geranylgeranyltransferase activity (GO:0004662)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein geranylgeranyltransferase activity (GO:0004661)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
glutamate:sodium symporter activity (GO:0015501)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein farnesyltransferase activity (GO:0004660)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
estrogen receptor activity (GO:0030284)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oligopeptidase activity (GO:0070012)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
testosterone dehydrogenase [NAD(P)] activity (GO:0030283)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glutathione transmembrane transporter activity (GO:0034634)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
MAP kinase phosphatase activity (GO:0033549)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
retinol transmembrane transporter activity (GO:0034632)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
prenyltransferase activity (GO:0004659)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
proline dehydrogenase activity (GO:0004657)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
procollagen-proline 4-dioxygenase activity (GO:0004656)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
porphobilinogen synthase activity (GO:0004655)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
polyribonucleotide nucleotidyltransferase activity (GO:0004654)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
polypeptide N-acetylgalactosaminyltransferase activity (GO:0004653)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
polynucleotide 5'-phosphatase activity (GO:0004651)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
histone H3-methyl-lysine-9 demethylase activity (GO:0032454)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
translation initiation factor binding (GO:0031369)	18	0	.16	-	 < 0.01	1.00E00	1.00E00
histone H3-methyl-lysine-4 demethylase activity (GO:0032453)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
histone demethylase activity (GO:0032452)	17	0	.15	-	 < 0.01	1.00E00	1.00E00
demethylase activity (GO:0032451)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
maltose alpha-glucosidase activity (GO:0032450)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
serine-type exopeptidase activity (GO:0070008)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
metalloaminopeptidase activity (GO:0070006)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
cysteine-type exopeptidase activity (GO:0070004)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
LRR domain binding (GO:0030275)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
threonine-type peptidase activity (GO:0070003)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
LIM domain binding (GO:0030274)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
aspartic-type peptidase activity (GO:0070001)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
endopolyphosphatase activity (GO:0000298)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
adenine nucleotide transmembrane transporter activity (GO:0000295)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
ferric-chelate reductase activity (GO:0000293)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
poly(ADP-ribose) glycohydrolase activity (GO:0004649)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
O-phospho-L-serine:2-oxoglutarate aminotransferase activity (GO:0004648)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
1,4-alpha-oligoglucan phosphorylase activity (GO:0004645)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alkylthioltransferase activity (GO:0050497)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphoribosylglycinamide formyltransferase activity (GO:0004644)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphoribosylformylglycinamidine synthase activity (GO:0004642)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphoribosylformylglycinamidine cyclo-ligase activity (GO:0004641)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
2-alkenal reductase [NAD(P)+] activity (GO:0032440)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquitin-specific protease binding (GO:1990381)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
glyoxylate reductase (NADP+) activity (GO:0030267)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Lys48-specific deubiquitinase activity (GO:1990380)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
arginine binding (GO:0034618)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA (cytosine-2'-O-)-methyltransferase activity (GO:0052666)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tetrahydrobiopterin binding (GO:0034617)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
1-phosphatidylinositol-3-phosphate 5-kinase activity (GO:0000285)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
5'-deoxyribose-5-phosphate lyase activity (GO:0051575)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphoribosylaminoimidazolesuccinocarboxamide synthase activity (GO:0004639)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphoribosylaminoimidazole carboxylase activity (GO:0004638)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphoribosylamine-glycine ligase activity (GO:0004637)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cortisol dehydrogenase activity (GO:0102196)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphopyruvate hydratase activity (GO:0004634)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein-ribulosamine 3-kinase activity (GO:0102193)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphopantothenoylcysteine decarboxylase activity (GO:0004633)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphopantothenate--cysteine ligase activity (GO:0004632)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
IMP 5'-nucleotidase activity (GO:0050483)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphomevalonate kinase activity (GO:0004631)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phospholipase D activity (GO:0004630)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
histone acetyltransferase activity (H4-K12 specific) (GO:0043997)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
imidazolonepropionase activity (GO:0050480)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
K6-linked polyubiquitin modification-dependent protein binding (GO:0071796)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lipoprotein lipase activator activity (GO:0060230)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity (GO:0052659)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol-1,4,5-trisphosphate 5-phosphatase activity (GO:0052658)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
pyruvate dehydrogenase (NAD+) activity (GO:0034604)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
pyruvate dehydrogenase [NAD(P)+] activity (GO:0034603)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
oxoglutarate dehydrogenase (NAD+) activity (GO:0034602)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NADP-retinol dehydrogenase activity (GO:0052650)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
oxoglutarate dehydrogenase [NAD(P)+] activity (GO:0034601)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phospholipase C activity (GO:0004629)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
glyceryl-ether monooxygenase activity (GO:0050479)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phospholipase A2 activity (GO:0004623)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
lipase activator activity (GO:0060229)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
glycosylphosphatidylinositol phospholipase D activity (GO:0004621)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylcholine-sterol O-acyltransferase activator activity (GO:0060228)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
purine-rich negative regulatory element binding (GO:0032422)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
polysaccharide binding (GO:0030247)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
type II activin receptor binding (GO:0070699)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
type I activin receptor binding (GO:0070698)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
activin receptor binding (GO:0070697)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
transmembrane receptor protein serine/threonine kinase binding (GO:0070696)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
peroxisome targeting sequence binding (GO:0000268)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
lysophosphatidic acid phosphatase activity (GO:0052642)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphoglycerate mutase activity (GO:0004619)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cycloeucalenone reductase activity (GO:0102176)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphogluconate dehydrogenase (decarboxylating) activity (GO:0004616)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
activin binding (GO:0048185)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
3-beta-hydroxysteroid dehydrogenase/C4-decarboxylase activity (GO:0102175)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphomannomutase activity (GO:0004615)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphoglucomutase activity (GO:0004614)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphoenolpyruvate carboxykinase (GTP) activity (GO:0004613)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphoenolpyruvate carboxykinase activity (GO:0004611)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
N-acetylneuraminate synthase activity (GO:0050462)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphoacetylglucosamine mutase activity (GO:0004610)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
amide transmembrane transporter activity (GO:0042887)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
nitric-oxide synthase regulator activity (GO:0030235)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
C-4 methylsterol oxidase activity (GO:0000254)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylgalactosamine diphosphorylase activity (GO:0052630)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
3-keto sterol reductase activity (GO:0000253)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity (GO:0000252)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylserine decarboxylase activity (GO:0004609)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylethanolamine N-methyltransferase activity (GO:0004608)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
MutSbeta complex binding (GO:0032408)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
metal cluster binding (GO:0051540)	33	0	.29	-	 < 0.01	1.00E00	1.00E00
MutSalpha complex binding (GO:0032407)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
MutLbeta complex binding (GO:0032406)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glutathione peroxidase activity (GO:0004602)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
MutLalpha complex binding (GO:0032405)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
peroxidase activity (GO:0004601)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
mismatch repair complex binding (GO:0032404)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
very-low-density lipoprotein particle receptor activity (GO:0030229)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lipoprotein particle receptor activity (GO:0030228)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
apolipoprotein receptor activity (GO:0030226)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inositol 1,4,5 trisphosphate binding (GO:0070679)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity (GO:0052629)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
C-5 sterol desaturase activity (GO:0000248)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
4 iron, 4 sulfur cluster binding (GO:0051539)	27	0	.23	-	 < 0.01	1.00E00	1.00E00
3 iron, 4 sulfur cluster binding (GO:0051538)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
2 iron, 2 sulfur cluster binding (GO:0051537)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
iron-sulfur cluster binding (GO:0051536)	33	0	.29	-	 < 0.01	1.00E00	1.00E00
very-long-chain 3-hydroxyacyl-CoA dehydratase activity (GO:0102158)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
very-long-chain-acyl-CoA dehydrogenase activity (GO:0017099)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
sulfonylurea receptor binding (GO:0017098)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
semaphorin receptor binding (GO:0030215)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
NFAT protein binding (GO:0051525)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
N-acetyl-beta-D-galactosaminidase activity (GO:0102148)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tau protein binding (GO:0048156)	21	0	.18	-	 < 0.01	1.00E00	1.00E00
microfibril binding (GO:0050436)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
oleate transmembrane transporter activity (GO:1901480)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
heparan sulfate N-deacetylase activity (GO:0102140)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta binding (GO:0050431)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
all-trans-decaprenyl-diphosphate synthase activity (GO:0097269)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chloride channel regulator activity (GO:0017081)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
sodium channel regulator activity (GO:0017080)	16	0	.14	-	 < 0.01	1.00E00	1.00E00
high-density lipoprotein particle receptor binding (GO:0070653)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity (GO:0000224)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
azole transmembrane transporter activity (GO:1901474)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
calcium-dependent phospholipase C activity (GO:0050429)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acetyltransferase activator activity (GO:0010698)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
nitrite reductase (NO-forming) activity (GO:0050421)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
3-hydroxykynureninase activity (GO:0061981)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulatory RNA binding (GO:0061980)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
oxidative phosphorylation uncoupler activity (GO:0017077)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
leukotriene B4 12-hydroxy dehydrogenase activity (GO:0097257)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
syntaxin-1 binding (GO:0017075)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
U6 snRNA binding (GO:0017070)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
vitamin D response element binding (GO:0070644)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA secondary structure binding (GO:0000217)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
tRNA 2'-phosphotransferase activity (GO:0000215)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
