




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	9_Liver_Hyperphagia_SpecificSwitches.txt (Homo sapiens)
Reference List:	Liver_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Liver_Background_AllMultiIsoGenes.txt - REFLIST (6232)	9_Liver_Hyperphagia_SpecificSwitches.txt (54)	9_Liver_Hyperphagia_SpecificSwitches.txt (expected)	9_Liver_Hyperphagia_SpecificSwitches.txt (over/under)	9_Liver_Hyperphagia_SpecificSwitches.txt (fold Enrichment)	9_Liver_Hyperphagia_SpecificSwitches.txt (raw P-value)	9_Liver_Hyperphagia_SpecificSwitches.txt (FDR)
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	92	0	.80	-	 < 0.01	1.00E00	1.00E00
regulation of synaptic membrane adhesion (GO:0099179)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of retrograde trans-synaptic signaling by endocanabinoid (GO:0099178)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of collagen catabolic process (GO:0120158)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of postsynapse organization (GO:0099175)	26	0	.23	-	 < 0.01	1.00E00	1.00E00
regulation of presynapse organization (GO:0099174)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
lens fiber cell morphogenesis (GO:0070309)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
postsynapse organization (GO:0099173)	26	0	.23	-	 < 0.01	1.00E00	1.00E00
presynapse organization (GO:0099172)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of ERBB4 signaling pathway (GO:0120154)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lens fiber cell development (GO:0070307)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
presynaptic modulation of chemical synaptic transmission (GO:0099171)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of excretion (GO:0044062)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
lens fiber cell differentiation (GO:0070306)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
postsynaptic modulation of chemical synaptic transmission (GO:0099170)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
response to cGMP (GO:0070305)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
cap mRNA methylation (GO:0036451)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of endocrine process (GO:0044060)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of stress-activated protein kinase signaling cascade (GO:0070304)	48	0	.42	-	 < 0.01	1.00E00	1.00E00
negative regulation of appetite (GO:0032099)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of stress-activated protein kinase signaling cascade (GO:0070303)	27	0	.23	-	 < 0.01	1.00E00	1.00E00
regulation of appetite (GO:0032098)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of stress-activated protein kinase signaling cascade (GO:0070302)	80	0	.69	-	 < 0.01	1.00E00	1.00E00
cellular response to hydrogen peroxide (GO:0070301)	27	0	.23	-	 < 0.01	1.00E00	1.00E00
negative regulation of response to food (GO:0032096)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of response to food (GO:0032095)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
response to food (GO:0032094)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of inflammatory response (GO:0050729)	34	0	.29	-	 < 0.01	1.00E00	1.00E00
negative regulation of inflammatory response (GO:0050728)	48	0	.42	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein binding (GO:0032092)	47	0	.41	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein binding (GO:0032091)	40	0	.35	-	 < 0.01	1.00E00	1.00E00
regulation of digestive system process (GO:0044058)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
synaptic signaling by nitric oxide (GO:0099163)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
neuronal stem cell division (GO:0036445)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
calcium import into the mitochondrion (GO:0036444)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of NF-kappaB transcription factor activity (GO:0032088)	35	0	.30	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein secretion (GO:0050714)	42	0	.36	-	 < 0.01	1.00E00	1.00E00
regulation of modification of postsynaptic structure (GO:0099159)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
maintenance of lens transparency (GO:0036438)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of postsynaptic density assembly (GO:0099151)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
glucan metabolic process (GO:0044042)	28	0	.24	-	 < 0.01	1.00E00	1.00E00
regulation of postsynaptic specialization assembly (GO:0099150)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of endodeoxyribonuclease activity (GO:0032079)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of deoxyribonuclease activity (GO:0032077)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of deoxyribonuclease activity (GO:0032076)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of nuclease activity (GO:0032075)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of nuclease activity (GO:0032074)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein secretion (GO:0050709)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
regulation of protein secretion (GO:0050708)	80	0	.69	-	 < 0.01	1.00E00	1.00E00
regulation of restriction endodeoxyribonuclease activity (GO:0032072)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of endodeoxyribonuclease activity (GO:0032071)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of deoxyribonuclease activity (GO:0032070)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
response to zinc ion starvation (GO:0120127)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of DNA methylation (GO:0044030)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of nuclease activity (GO:0032069)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
bleb assembly (GO:0032060)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
hypomethylation of CpG island (GO:0044029)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA hypomethylation (GO:0044028)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hypermethylation of CpG island (GO:0044027)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA hypermethylation (GO:0044026)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glucagon processing (GO:0120116)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA stabilization (GO:0036416)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of tRNA stability (GO:0036415)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of translational initiation in response to stress (GO:0032058)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of translational initiation in response to stress (GO:0032057)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of translation in response to stress (GO:0032056)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of translation in response to stress (GO:0032055)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ciliary basal body organization (GO:0032053)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
conversion of ds siRNA to ss siRNA (GO:0036404)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cardiolipin biosynthetic process (GO:0032049)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cardiolipin metabolic process (GO:0032048)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
mitochondrial DNA metabolic process (GO:0032042)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
microtubule-based protein transport (GO:0099118)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
tRNA 5'-end processing (GO:0099116)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
box H/ACA RNA 3'-end processing (GO:0000495)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
box C/D RNA 3'-end processing (GO:0000494)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
box H/ACA snoRNP assembly (GO:0000493)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
microtubule-based transport (GO:0099111)	79	0	.68	-	 < 0.01	1.00E00	1.00E00
box C/D snoRNP assembly (GO:0000492)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
small nucleolar ribonucleoprotein complex assembly (GO:0000491)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000480)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
response to magnesium ion (GO:0032026)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
response to cobalt ion (GO:0032025)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of insulin secretion (GO:0032024)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
ISG15-protein conjugation (GO:0032020)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
endonucleolytic cleavage involved in rRNA processing (GO:0000478)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000472)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
maturation of LSU-rRNA (GO:0000470)	17	0	.15	-	 < 0.01	1.00E00	1.00E00
positive regulation of ARF protein signal transduction (GO:0032014)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of ARF protein signal transduction (GO:0032012)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
cleavage involved in rRNA processing (GO:0000469)	17	0	.15	-	 < 0.01	1.00E00	1.00E00
exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000467)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
maturation of 5.8S rRNA (GO:0000460)	23	0	.20	-	 < 0.01	1.00E00	1.00E00
7,8-dihydroneopterin 3'-triphosphate biosynthetic process (GO:0035998)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of TOR signaling (GO:0032008)	25	0	.22	-	 < 0.01	1.00E00	1.00E00
negative regulation of TOR signaling (GO:0032007)	24	0	.21	-	 < 0.01	1.00E00	1.00E00
regulation of TOR signaling (GO:0032006)	57	0	.49	-	 < 0.01	1.00E00	1.00E00
detection of muscle stretch (GO:0035995)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
response to muscle stretch (GO:0035994)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
deltoid tuberosity development (GO:0035993)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tendon formation (GO:0035992)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tendon cell differentiation (GO:0035990)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell-cell signaling by wnt (GO:0198738)	104	0	.90	-	 < 0.01	1.00E00	1.00E00
positive regulation of fatty acid beta-oxidation (GO:0032000)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
exonucleolytic trimming involved in rRNA processing (GO:0000459)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
enzyme-directed rRNA pseudouridine synthesis (GO:0000455)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
enzyme-directed rRNA 2'-O-methylation (GO:0000453)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
rRNA 2'-O-methylation (GO:0000451)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
tendon development (GO:0035989)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
chondrocyte proliferation (GO:0035988)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
endodermal cell differentiation (GO:0035987)	18	0	.16	-	 < 0.01	1.00E00	1.00E00
cellular response to trichostatin A (GO:0035984)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to trichostatin A (GO:0035983)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hemoglobin metabolic process (GO:0020027)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000448)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
postsynaptic specialization assembly (GO:0098698)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
skin morphogenesis (GO:0043589)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
skin development (GO:0043588)	72	0	.62	-	 < 0.01	1.00E00	1.00E00
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0098696)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
tongue morphogenesis (GO:0043587)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
protein deglycosylation involved in glycoprotein catabolic process (GO:0035977)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tongue development (GO:0043586)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
nose morphogenesis (GO:0043585)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of synaptic vesicle cycle (GO:0098693)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
nose development (GO:0043584)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
aggrephagy (GO:0035973)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to nerve growth factor stimulus (GO:1990090)	18	0	.16	-	 < 0.01	1.00E00	1.00E00
peptidyl-threonine dephosphorylation (GO:0035970)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
carbon catabolite activation of transcription from RNA polymerase II promoter (GO:0000436)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter by galactose (GO:0000435)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter by glucose (GO:0000432)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
prosthetic group metabolic process (GO:0051189)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of transcription from RNA polymerase II promoter by galactose (GO:0000431)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to nerve growth factor (GO:1990089)	18	0	.16	-	 < 0.01	1.00E00	1.00E00
regulation of transcription from RNA polymerase II promoter by glucose (GO:0000430)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear matrix organization (GO:0043578)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lens fiber cell apoptotic process (GO:1990086)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cardiolipin acyl-chain remodeling (GO:0035965)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
peroxisomal transport (GO:0043574)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
COPI-coated vesicle budding (GO:0035964)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
vitamin transport (GO:0051180)	21	0	.18	-	 < 0.01	1.00E00	1.00E00
maintenance of DNA repeat elements (GO:0043570)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
carbon catabolite regulation of transcription from RNA polymerase II promoter (GO:0000429)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization to membrane (GO:1905477)	46	0	.40	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein localization to membrane (GO:1905476)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to membrane (GO:1905475)	69	0	.60	-	 < 0.01	1.00E00	1.00E00
pexophagy (GO:0000425)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mitophagy (GO:0000423)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of insulin-like growth factor receptor signaling pathway (GO:0043569)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cartilage homeostasis (GO:1990079)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of insulin-like growth factor receptor signaling pathway (GO:0043568)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of insulin-like growth factor receptor signaling pathway (GO:0043567)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of sulfur metabolic process (GO:0051176)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
polyuridylation-dependent mRNA catabolic process (GO:1990074)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
import into nucleus (GO:0051170)	61	0	.53	-	 < 0.01	1.00E00	1.00E00
wybutosine biosynthetic process (GO:0031591)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
wybutosine metabolic process (GO:0031590)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of histone H3-K36 methylation (GO:0000416)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA duplex unwinding (GO:1905464)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of histone H3-K36 methylation (GO:0000415)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA duplex unwinding (GO:1905463)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of histone H3-K36 methylation (GO:0000414)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of DNA duplex unwinding (GO:1905462)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of vascular associated smooth muscle cell apoptotic process (GO:1905460)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription by galactose (GO:0000411)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of translational initiation in response to stress (GO:0043558)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
xylulose 5-phosphate metabolic process (GO:0051167)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of translation in response to oxidative stress (GO:0043556)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial mRNA surveillance (GO:0035946)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of translation in response to stress (GO:0043555)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
mitochondrial ncRNA surveillance (GO:0035945)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inorganic cation transmembrane transport (GO:0098662)	139	0	1.20	-	 < 0.01	6.34E-01	1.00E00
negative regulation of phosphatidylinositol 3-kinase activity (GO:0043553)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
inorganic anion transmembrane transport (GO:0098661)	16	0	.14	-	 < 0.01	1.00E00	1.00E00
positive regulation of phosphatidylinositol 3-kinase activity (GO:0043552)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
inorganic ion transmembrane transport (GO:0098660)	149	0	1.29	-	 < 0.01	6.40E-01	1.00E00
regulation of phosphatidylinositol 3-kinase activity (GO:0043551)	23	0	.20	-	 < 0.01	1.00E00	1.00E00
regulation of lipid kinase activity (GO:0043550)	31	0	.27	-	 < 0.01	1.00E00	1.00E00
cell-substrate adhesion (GO:0031589)	65	0	.56	-	 < 0.01	1.00E00	1.00E00
regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity (GO:0031585)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
activation of phospholipase D activity (GO:0031584)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
hemidesmosome assembly (GO:0031581)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
membrane raft distribution (GO:0031580)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of transcription by galactose (GO:0000409)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of lymphoid progenitor cell differentiation (GO:1905456)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of myeloid progenitor cell differentiation (GO:1905454)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of myeloid progenitor cell differentiation (GO:1905453)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
inorganic cation import across plasma membrane (GO:0098659)	17	0	.15	-	 < 0.01	1.00E00	1.00E00
positive regulation of Fc-gamma receptor signaling pathway involved in phagocytosis (GO:1905451)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of signal transduction in absence of ligand (GO:1901099)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of Fc-gamma receptor signaling pathway involved in phagocytosis (GO:1905450)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
import into cell (GO:0098657)	52	0	.45	-	 < 0.01	1.00E00	1.00E00
positive regulation of autophagosome maturation (GO:1901098)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
anion transmembrane transport (GO:0098656)	69	0	.60	-	 < 0.01	1.00E00	1.00E00
negative regulation of autophagosome maturation (GO:1901097)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
glucose 6-phosphate metabolic process (GO:0051156)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
cation transmembrane transport (GO:0098655)	158	0	1.37	-	 < 0.01	6.47E-01	1.00E00
regulation of autophagosome maturation (GO:1901096)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of striated muscle cell differentiation (GO:0051155)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
molybdopterin cofactor metabolic process (GO:0043545)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of striated muscle cell differentiation (GO:0051154)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of striated muscle cell differentiation (GO:0051153)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
positive regulation of smooth muscle cell differentiation (GO:0051152)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
endothelial cell migration (GO:0043542)	23	0	.20	-	 < 0.01	1.00E00	1.00E00
negative regulation of smooth muscle cell differentiation (GO:0051151)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of smooth muscle cell differentiation (GO:0051150)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
activation of protein kinase C activity (GO:1990051)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
membrane raft organization (GO:0031579)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
spindle checkpoint signaling (GO:0031577)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
mitotic intra-S DNA damage checkpoint signaling (GO:0031573)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
mitotic G1 DNA damage checkpoint signaling (GO:0031571)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
DNA integrity checkpoint signaling (GO:0031570)	54	0	.47	-	 < 0.01	1.00E00	1.00E00
regulation of Fc-gamma receptor signaling pathway involved in phagocytosis (GO:1905449)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitochondrial ATP synthesis coupled electron transport (GO:1905448)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of mitochondrial ATP synthesis coupled electron transport (GO:1905447)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of mitochondrial ATP synthesis coupled electron transport (GO:1905446)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of clathrin coat assembly (GO:1905445)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of clathrin coat assembly (GO:1905443)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of muscle cell differentiation (GO:0051148)	18	0	.16	-	 < 0.01	1.00E00	1.00E00
retrograde neuronal dense core vesicle transport (GO:1990049)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
anterograde neuronal dense core vesicle transport (GO:1990048)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
rRNA import into mitochondrion (GO:0035928)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of blood vessel endothelial cell migration (GO:0043537)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
striated muscle cell differentiation (GO:0051146)	64	0	.55	-	 < 0.01	1.00E00	1.00E00
