




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	4_Adipose_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Adipose_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Adipose_Background_AllMultiIsoGenes.txt - REFLIST (7142)	4_Adipose_Active_SpecificSwitches.txt (204)	4_Adipose_Active_SpecificSwitches.txt (expected)	4_Adipose_Active_SpecificSwitches.txt (over/under)	4_Adipose_Active_SpecificSwitches.txt (fold Enrichment)	4_Adipose_Active_SpecificSwitches.txt (raw P-value)	4_Adipose_Active_SpecificSwitches.txt (FDR)
transmembrane receptor protein tyrosine kinase inhibitor activity (GO:0030293)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H3-tri/di/monomethyl-lysine-4 demethylase activity (GO:0034647)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
raffinose alpha-galactosidase activity (GO:0052692)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein-arginine deiminase activity (GO:0004668)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
prostaglandin-D synthase activity (GO:0004667)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Rab geranylgeranyltransferase activity (GO:0004663)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
CAAX-protein geranylgeranyltransferase activity (GO:0004662)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
protein geranylgeranyltransferase activity (GO:0004661)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
glutamate:sodium symporter activity (GO:0015501)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein farnesyltransferase activity (GO:0004660)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
armadillo repeat domain binding (GO:0070016)	10	0	.29	-	 < 0.01	1.00E00	1.00E00
lysophosphatidic acid binding (GO:0035727)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
estrogen receptor activity (GO:0030284)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
oligopeptidase activity (GO:0070012)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
testosterone dehydrogenase [NAD(P)] activity (GO:0030283)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
glutathione transmembrane transporter activity (GO:0034634)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
MAP kinase phosphatase activity (GO:0033549)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
propionyl-CoA carboxylase activity (GO:0004658)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
procollagen-proline 4-dioxygenase activity (GO:0004656)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
porphobilinogen synthase activity (GO:0004655)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
polyribonucleotide nucleotidyltransferase activity (GO:0004654)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
polypeptide N-acetylgalactosaminyltransferase activity (GO:0004653)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
polynucleotide adenylyltransferase activity (GO:0004652)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
polynucleotide 5'-phosphatase activity (GO:0004651)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
histone H3-methyl-lysine-9 demethylase activity (GO:0032454)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
translation initiation factor binding (GO:0031369)	16	0	.46	-	 < 0.01	1.00E00	1.00E00
histone H3-methyl-lysine-4 demethylase activity (GO:0032453)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
histone demethylase activity (GO:0032452)	17	0	.49	-	 < 0.01	1.00E00	1.00E00
demethylase activity (GO:0032451)	23	0	.66	-	 < 0.01	1.00E00	1.00E00
metalloaminopeptidase activity (GO:0070006)	12	0	.34	-	 < 0.01	1.00E00	1.00E00
macrophage migration inhibitory factor binding (GO:0035718)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cysteine-type exopeptidase activity (GO:0070004)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
LRR domain binding (GO:0030275)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
threonine-type peptidase activity (GO:0070003)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
LIM domain binding (GO:0030274)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
aspartic-type peptidase activity (GO:0070001)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
adenine nucleotide transmembrane transporter activity (GO:0000295)	10	0	.29	-	 < 0.01	1.00E00	1.00E00
ferric-chelate reductase activity (GO:0000293)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
poly(ADP-ribose) glycohydrolase activity (GO:0004649)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
O-phospho-L-serine:2-oxoglutarate aminotransferase activity (GO:0004648)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
1,4-alpha-oligoglucan phosphorylase activity (GO:0004645)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
alkylthioltransferase activity (GO:0050497)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphoribosylglycinamide formyltransferase activity (GO:0004644)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphoribosylformylglycinamidine synthase activity (GO:0004642)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphoribosylformylglycinamidine cyclo-ligase activity (GO:0004641)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
2-alkenal reductase [NAD(P)+] activity (GO:0032440)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ubiquitin-specific protease binding (GO:1990381)	16	0	.46	-	 < 0.01	1.00E00	1.00E00
glyoxylate reductase (NADP+) activity (GO:0030267)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
arginine binding (GO:0034618)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
tRNA (cytosine-2'-O-)-methyltransferase activity (GO:0052666)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tetrahydrobiopterin binding (GO:0034617)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
1-phosphatidylinositol-3-phosphate 5-kinase activity (GO:0000285)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
5'-deoxyribose-5-phosphate lyase activity (GO:0051575)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
phosphoribosylaminoimidazolesuccinocarboxamide synthase activity (GO:0004639)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphoribosylaminoimidazole carboxylase activity (GO:0004638)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphoribosylamine-glycine ligase activity (GO:0004637)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein-fructosamine 3-kinase activity (GO:0102194)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphopyruvate hydratase activity (GO:0004634)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
protein-ribulosamine 3-kinase activity (GO:0102193)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphopantothenoylcysteine decarboxylase activity (GO:0004633)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphopantothenate--cysteine ligase activity (GO:0004632)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
IMP 5'-nucleotidase activity (GO:0050483)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphomevalonate kinase activity (GO:0004631)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phospholipase D activity (GO:0004630)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
H2A histone acetyltransferase activity (GO:0043998)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone acetyltransferase activity (H4-K12 specific) (GO:0043997)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
K6-linked polyubiquitin modification-dependent protein binding (GO:0071796)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
K11-linked polyubiquitin modification-dependent protein binding (GO:0071795)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity (GO:0052659)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
inositol-1,4,5-trisphosphate 5-phosphatase activity (GO:0052658)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
guanylate cyclase activator activity (GO:0030250)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxoglutarate dehydrogenase (NAD+) activity (GO:0034602)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
NADP-retinol dehydrogenase activity (GO:0052650)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
oxoglutarate dehydrogenase [NAD(P)+] activity (GO:0034601)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phospholipase C activity (GO:0004629)	12	0	.34	-	 < 0.01	1.00E00	1.00E00
glyceryl-ether monooxygenase activity (GO:0050479)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phospholipase A2 activity (GO:0004623)	11	0	.31	-	 < 0.01	1.00E00	1.00E00
lipase activator activity (GO:0060229)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
phosphatidylcholine-sterol O-acyltransferase activator activity (GO:0060228)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
purine-rich negative regulatory element binding (GO:0032422)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
guanylate cyclase regulator activity (GO:0030249)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
polysaccharide binding (GO:0030247)	11	0	.31	-	 < 0.01	1.00E00	1.00E00
type I activin receptor binding (GO:0070698)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
activin receptor binding (GO:0070697)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
transmembrane receptor protein serine/threonine kinase binding (GO:0070696)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
peroxisome targeting sequence binding (GO:0000268)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
lysophosphatidic acid phosphatase activity (GO:0052642)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphoglycerate mutase activity (GO:0004619)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cycloeucalenone reductase activity (GO:0102176)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphomannomutase activity (GO:0004615)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphoglucomutase activity (GO:0004614)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphoenolpyruvate carboxykinase (GTP) activity (GO:0004613)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphoenolpyruvate carboxykinase activity (GO:0004611)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphoacetylglucosamine mutase activity (GO:0004610)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
amide transmembrane transporter activity (GO:0042887)	17	0	.49	-	 < 0.01	1.00E00	1.00E00
hexitol dehydrogenase activity (GO:0031320)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
nitric-oxide synthase regulator activity (GO:0030235)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
deoxynucleotide transmembrane transporter activity (GO:0030233)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
C-4 methylsterol oxidase activity (GO:0000254)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylgalactosamine diphosphorylase activity (GO:0052630)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3-keto sterol reductase activity (GO:0000253)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphatidylserine decarboxylase activity (GO:0004609)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphatidylethanolamine N-methyltransferase activity (GO:0004608)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
[protein]-3-O-(N-acetyl-D-glucosaminyl)-L-serine O-N-acetyl-alpha-D-glucosaminase activity (GO:0102167)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylcholine-sterol O-acyltransferase activity (GO:0004607)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
[protein]-3-O-(N-acetyl-D-glucosaminyl)-L-threonine O-N-acetyl-alpha-D-glucosaminase activity (GO:0102166)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
MutSbeta complex binding (GO:0032408)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
MutSalpha complex binding (GO:0032407)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
MutLbeta complex binding (GO:0032406)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glutathione peroxidase activity (GO:0004602)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
MutLalpha complex binding (GO:0032405)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
peroxidase activity (GO:0004601)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
mismatch repair complex binding (GO:0032404)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
very-low-density lipoprotein particle receptor activity (GO:0030229)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
lipoprotein particle receptor activity (GO:0030228)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
inositol 1,4,5 trisphosphate binding (GO:0070679)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
preprotein binding (GO:0070678)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity (GO:0052629)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
C-5 sterol desaturase activity (GO:0000248)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
C-8 sterol isomerase activity (GO:0000247)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3 iron, 4 sulfur cluster binding (GO:0051538)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
2 iron, 2 sulfur cluster binding (GO:0051537)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
very-long-chain 3-hydroxyacyl-CoA dehydratase activity (GO:0102158)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
very-long-chain-acyl-CoA dehydrogenase activity (GO:0017099)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
sulfonylurea receptor binding (GO:0017098)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
semaphorin receptor binding (GO:0030215)	10	0	.29	-	 < 0.01	1.00E00	1.00E00
NFAT protein binding (GO:0051525)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
N-acetyl-beta-D-galactosaminidase activity (GO:0102148)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
tau protein binding (GO:0048156)	24	0	.69	-	 < 0.01	1.00E00	1.00E00
microfibril binding (GO:0050436)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
oleate transmembrane transporter activity (GO:1901480)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
heparan sulfate N-deacetylase activity (GO:0102140)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
chloride channel regulator activity (GO:0017081)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
high-density lipoprotein particle receptor binding (GO:0070653)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosaminylphosphatidylinositol deacetylase activity (GO:0000225)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity (GO:0000224)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
azole transmembrane transporter activity (GO:1901474)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
calcium-dependent phospholipase C activity (GO:0050429)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
acetyltransferase activator activity (GO:0010698)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
nitrite reductase (NO-forming) activity (GO:0050421)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
oxidative phosphorylation uncoupler activity (GO:0017077)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
leukotriene B4 12-hydroxy dehydrogenase activity (GO:0097257)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
syntaxin-1 binding (GO:0017075)	11	0	.31	-	 < 0.01	1.00E00	1.00E00
U6 snRNA binding (GO:0017070)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
vitamin D response element binding (GO:0070644)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA-intron endonuclease activity (GO:0000213)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
NAD+ diphosphatase activity (GO:0000210)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
intraciliary transport particle B binding (GO:0120170)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
ceramidase activity (GO:0102121)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
testosterone 17-beta-dehydrogenase (NADP+) activity (GO:0047045)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
androstan-3-alpha,17-beta-diol dehydrogenase activity (GO:0047044)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
N-terminal myristoylation domain binding (GO:0031997)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
thioesterase binding (GO:0031996)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
single-strand selective uracil DNA N-glycosylase activity (GO:0017065)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
insulin-like growth factor II binding (GO:0031995)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
BRE binding (GO:0042835)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
lipopeptide binding (GO:0071723)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
fatty acid amide hydrolase activity (GO:0017064)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
insulin-like growth factor I binding (GO:0031994)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
flavonoid binding (GO:0097243)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
S-methyl-5-thioadenosine phosphorylase activity (GO:0017061)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
deaminase activity (GO:0019239)	13	0	.37	-	 < 0.01	1.00E00	1.00E00
cyclohydrolase activity (GO:0019238)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
centromeric DNA binding (GO:0019237)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
[acetyl-CoA carboxylase] kinase activity (GO:0050405)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
intraciliary transport particle A binding (GO:0120160)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
testosterone dehydrogenase (NAD+) activity (GO:0047035)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
DNA-7-methylguanine glycosylase activity (GO:0043916)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
L-seryl-tRNA(Sec) kinase activity (GO:0043915)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
beta-catenin destruction complex binding (GO:1904713)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
6-phosphogluconolactonase activity (GO:0017057)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
icosanoid transmembrane transporter activity (GO:0071714)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
proteasome binding (GO:0070628)	14	0	.40	-	 < 0.01	1.00E00	1.00E00
calcium-dependent ATPase activity (GO:0030899)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido) succinate lyase (fumarate-forming) activity (GO:0070626)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
D-erythro-sphingosine kinase activity (GO:0017050)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
IkappaB kinase activity (GO:0008384)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
13-lipoxin reductase activity (GO:0036185)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mechanosensitive ion channel activity (GO:0008381)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
5alpha-androstane-3beta,17beta-diol dehydrogenase activity (GO:0047024)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
androsterone dehydrogenase activity (GO:0047023)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
mRNA (adenine-N1-)-methyltransferase activity (GO:0061953)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
Wnt-activated receptor activity (GO:0042813)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
galactosylgalactosylglucosylceramidase activity (GO:0017041)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
N-acylsphingosine amidohydrolase activity (GO:0017040)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
beta-2-microglobulin binding (GO:0030881)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Formylglycine-generating oxidase activity (GO:0120147)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
sulfatide binding (GO:0120146)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
thioredoxin peroxidase activity (GO:0008379)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
galactosyltransferase activity (GO:0008378)	11	0	.31	-	 < 0.01	1.00E00	1.00E00
acetylgalactosaminyltransferase activity (GO:0008376)	11	0	.31	-	 < 0.01	1.00E00	1.00E00
acetylglucosaminyltransferase activity (GO:0008375)	16	0	.46	-	 < 0.01	1.00E00	1.00E00
intermediate filament binding (GO:0019215)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
calcium- and calmodulin-regulated 3',5'-cyclic-GMP phosphodiesterase activity (GO:0048101)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
sialyltransferase activity (GO:0008373)	10	0	.29	-	 < 0.01	1.00E00	1.00E00
cholest-5-ene-3-beta,7-alpha-diol 3-beta-dehydrogenase activity (GO:0047016)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
vitamin D receptor binding (GO:0042809)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
fucose binding (GO:0042806)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
mineralocorticoid receptor binding (GO:0031962)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone methyltransferase activity (H3-K4 specific) (GO:0042800)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
cyclic-GMP-AMP transmembrane transporter activity (GO:0140360)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
nucleoside kinase activity (GO:0019206)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
nucleobase-containing compound kinase activity (GO:0019205)	25	0	.71	-	 < 0.01	1.00E00	1.00E00
carbohydrate phosphatase activity (GO:0019203)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
amino acid kinase activity (GO:0019202)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
carbohydrate kinase activity (GO:0019200)	11	0	.31	-	 < 0.01	1.00E00	1.00E00
threonine racemase activity (GO:0018114)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ABC-type transporter activity (GO:0140359)	22	0	.63	-	 < 0.01	1.00E00	1.00E00
very long-chain fatty acid-CoA ligase activity (GO:0031957)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
medium-chain fatty acid-CoA ligase activity (GO:0031956)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
TBP-class protein binding (GO:0017025)	19	0	.54	-	 < 0.01	1.00E00	1.00E00
tRNA demethylase activity (GO:1990984)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
glycosylceramide flippase activity (GO:0140351)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
myosin phosphatase regulator activity (GO:0017020)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
GTPase inhibitor activity (GO:0005095)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
Rho GDP-dissociation inhibitor activity (GO:0005094)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Rab GDP-dissociation inhibitor activity (GO:0005093)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
GDP-dissociation inhibitor activity (GO:0005092)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
RNA binding involved in posttranscriptional gene silencing (GO:0150100)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
retinoic acid binding (GO:0001972)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
gamma-glutamylaminecyclotransferase activity (GO:0061929)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II CTD heptapeptide repeat kinase activity (GO:0008353)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
MAP kinase tyrosine/serine/threonine phosphatase activity (GO:0017017)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
methylated histone binding (GO:0035064)	46	0	1.31	-	 < 0.01	6.39E-01	1.00E00
phosphatidylserine flippase activity (GO:0140346)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
phosphatidylcholine flippase activity (GO:0140345)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylserine transfer activity (GO:0140343)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
fibronectin binding (GO:0001968)	10	0	.29	-	 < 0.01	1.00E00	1.00E00
G-protein alpha-subunit binding (GO:0001965)	10	0	.29	-	 < 0.01	1.00E00	1.00E00
protein kinase C binding (GO:0005080)	30	0	.86	-	 < 0.01	1.00E00	1.00E00
MAP kinase kinase kinase kinase activity (GO:0008349)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
sphingomyelin transfer activity (GO:0140338)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3'-tyrosyl-DNA phosphodiesterase activity (GO:0017005)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
MAP-kinase scaffold activity (GO:0005078)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
glycerophospholipid flippase activity (GO:0140333)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
DNA-3'-diphospho-5'-guanosine diphosphatase (GO:0120108)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
kynurenine aminotransferase activity (GO:0036137)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
high voltage-gated calcium channel activity (GO:0008331)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
protein tyrosine/threonine phosphatase activity (GO:0008330)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
dihydroceramide kinase activity (GO:0102773)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
kinesin binding (GO:0019894)	24	0	.69	-	 < 0.01	1.00E00	1.00E00
13-prostaglandin reductase activity (GO:0036132)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
G protein-coupled glutamate receptor activity (GO:0098988)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
floppase activity (GO:0140328)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
flippase activity (GO:0140327)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
ATPase-coupled intramembrane lipid transporter activity (GO:0140326)	13	0	.37	-	 < 0.01	1.00E00	1.00E00
G-rich single-stranded DNA binding (GO:1990955)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
aspartyltransferase activity (GO:0047690)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
transmembrane receptor protein tyrosine kinase adaptor activity (GO:0005068)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
solute:anion antiporter activity (GO:0140323)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
methyl-CpG binding (GO:0008327)	14	0	.40	-	 < 0.01	1.00E00	1.00E00
protein transmembrane transporter activity (GO:0008320)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
double-stranded DNA helicase activity (GO:0036121)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ubiquitin ligase inhibitor activity (GO:1990948)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone acetyltransferase binding (GO:0035035)	10	0	.29	-	 < 0.01	1.00E00	1.00E00
protein transporter activity (GO:0140318)	11	0	.31	-	 < 0.01	1.00E00	1.00E00
histone deacetylase regulator activity (GO:0035033)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
molecular sequestering activity (GO:0140313)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
cargo adaptor activity (GO:0140312)	13	0	.37	-	 < 0.01	1.00E00	1.00E00
