




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	10_Muscle_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Muscle_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Muscle_Background_AllMultiIsoGenes.txt - REFLIST (4513)	10_Muscle_Active_SpecificSwitches.txt (36)	10_Muscle_Active_SpecificSwitches.txt (expected)	10_Muscle_Active_SpecificSwitches.txt (over/under)	10_Muscle_Active_SpecificSwitches.txt (fold Enrichment)	10_Muscle_Active_SpecificSwitches.txt (raw P-value)	10_Muscle_Active_SpecificSwitches.txt (FDR)
positive regulation of protein targeting to membrane (GO:0090314)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of protein targeting to membrane (GO:0090313)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein deacetylation (GO:0090312)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of protein deacetylation (GO:0090311)	21	0	.17	-	 < 0.01	1.00E00	1.00E00
histone H3-K27 methylation (GO:0070734)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cGMP transport (GO:0070731)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cAMP transport (GO:0070730)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of ribonucleoprotein complex localization (GO:2000199)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of ribonucleoprotein complex localization (GO:2000197)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of female gonad development (GO:2000195)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of female gonad development (GO:2000194)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ammonium import across plasma membrane (GO:0140157)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of fatty acid transport (GO:2000193)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of fatty acid transport (GO:2000192)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA methylation-dependent heterochromatin assembly (GO:0090309)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of fatty acid transport (GO:2000191)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
axon extension involved in axon guidance (GO:0048846)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of DNA methylation-dependent heterochromatin assembly (GO:0090308)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
venous blood vessel morphogenesis (GO:0048845)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
artery morphogenesis (GO:0048844)	21	0	.17	-	 < 0.01	1.00E00	1.00E00
meiotic spindle assembly (GO:0090306)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of axon extension involved in axon guidance (GO:0048843)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	78	0	.62	-	 < 0.01	1.00E00	1.00E00
positive regulation of axon extension involved in axon guidance (GO:0048842)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of axon extension involved in axon guidance (GO:0048841)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
otolith development (GO:0048840)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cyclic nucleotide transport (GO:0070729)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
response to cholesterol (GO:0070723)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
inner ear development (GO:0048839)	34	0	.27	-	 < 0.01	1.00E00	1.00E00
regulation of progesterone biosynthetic process (GO:2000182)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of blood vessel morphogenesis (GO:2000181)	28	0	.22	-	 < 0.01	1.00E00	1.00E00
mitochondrial potassium ion transmembrane transport (GO:0140141)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inorganic ion import across plasma membrane (GO:0099587)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of neural precursor cell proliferation (GO:2000179)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of deadenylation-dependent decapping of nuclear-transcribed mRNA (GO:0106289)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of neural precursor cell proliferation (GO:2000178)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of deadenylation-dependent decapping of nuclear-transcribed mRNA (GO:0106288)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of neural precursor cell proliferation (GO:2000177)	19	0	.15	-	 < 0.01	1.00E00	1.00E00
regulation of branching morphogenesis of a nerve (GO:2000172)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of dendrite development (GO:2000171)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
formation of extrachromosomal circular DNA (GO:0001325)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of lymphocyte chemotaxis (GO:0140131)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
enucleate erythrocyte development (GO:0048822)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
erythrocyte development (GO:0048821)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of translation at postsynapse, modulating synaptic transmission (GO:0099578)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
hair follicle maturation (GO:0048820)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of translation at presynapse, modulating synaptic transmission (GO:0099577)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein catabolic process at postsynapse, modulating synaptic transmission (GO:0099576)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to lipopolysaccharide (GO:0032496)	58	0	.46	-	 < 0.01	1.00E00	1.00E00
response to muramyl dipeptide (GO:0032495)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to peptidoglycan (GO:0032494)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to bacterial lipoprotein (GO:0032493)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of peptidyl-cysteine S-nitrosylation (GO:2000169)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of planar cell polarity pathway involved in neural tube closure (GO:2000167)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of hair follicle maturation (GO:0048819)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of hair follicle maturation (GO:0048818)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of dendrite morphogenesis (GO:0048814)	24	0	.19	-	 < 0.01	1.00E00	1.00E00
dendrite morphogenesis (GO:0048813)	21	0	.17	-	 < 0.01	1.00E00	1.00E00
neuron projection morphogenesis (GO:0048812)	113	0	.90	-	 < 0.01	1.00E00	1.00E00
regulation of postsynaptic cytosolic calcium ion concentration (GO:0099566)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
chemical synaptic transmission, postsynaptic (GO:0099565)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
modification of synaptic structure (GO:0099563)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
maintenance of postsynaptic density structure (GO:0099562)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
synaptic membrane adhesion (GO:0099560)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of Cdc42 protein signal transduction (GO:0032489)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
Cdc42 protein signal transduction (GO:0032488)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of Rap protein signal transduction (GO:0032487)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Rap protein signal transduction (GO:0032486)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of Ral protein signal transduction (GO:0032485)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Ral protein signal transduction (GO:0032484)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of Rab protein signal transduction (GO:0032483)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Rab protein signal transduction (GO:0032482)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of ubiquitin-specific protease activity (GO:2000158)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of type I interferon production (GO:0032481)	15	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of ubiquitin-specific protease activity (GO:2000157)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of retrograde vesicle-mediated transport, Golgi to ER (GO:2000156)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
male genitalia morphogenesis (GO:0048808)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of ubiquitin-specific protease activity (GO:2000152)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
female genitalia morphogenesis (GO:0048807)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
export across plasma membrane (GO:0140115)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
genitalia development (GO:0048806)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
extracellular vesicle biogenesis (GO:0140112)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
maintenance of synapse structure (GO:0099558)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
trans-synaptic signaling by nitric oxide, modulating synaptic transmission (GO:0099555)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
trans-synaptic signaling by soluble gas, modulating synaptic transmission (GO:0099554)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
trans-synaptic signaling by neuropeptide, modulating synaptic transmission (GO:0099551)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
trans-synaptic signaling, modulating synaptic transmission (GO:0099550)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
otolith morphogenesis (GO:0032474)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Golgi calcium ion transport (GO:0032472)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of endoplasmic reticulum calcium ion concentration (GO:0032471)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of endoplasmic reticulum calcium ion concentration (GO:0032470)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA-templated transcription, initiation (GO:2000144)	21	0	.17	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA-templated transcription, initiation (GO:2000143)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of DNA-templated transcription, initiation (GO:2000142)	28	0	.22	-	 < 0.01	1.00E00	1.00E00
peptidyl-cysteine modification (GO:0018198)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
peptidyl-aspartic acid modification (GO:0018197)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidyl-asparagine modification (GO:0018196)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
trans-synaptic signaling by nitric oxide (GO:0099548)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine modification (GO:0018195)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of translation at synapse, modulating synaptic transmission (GO:0099547)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
trans-synaptic signaling by trans-synaptic complex (GO:0099545)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
trans-synaptic signaling by soluble gas (GO:0099543)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation by symbiont of host programmed cell death (GO:0052041)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
trans-synaptic signaling by neuropeptide (GO:0099540)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
modulation by symbiont of host programmed cell death (GO:0052040)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum calcium ion homeostasis (GO:0032469)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
Golgi calcium ion homeostasis (GO:0032468)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cytokinesis (GO:0032467)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of cytokinesis (GO:0032465)	27	0	.22	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein homooligomerization (GO:0032463)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein homooligomerization (GO:0032462)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell proliferation involved in heart morphogenesis (GO:2000138)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein oligomerization (GO:0032461)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell proliferation involved in heart morphogenesis (GO:2000137)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein oligomerization (GO:0032460)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cell proliferation involved in heart morphogenesis (GO:2000136)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	26	0	.21	-	 < 0.01	1.00E00	1.00E00
synaptic signaling via neuropeptide (GO:0099538)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
trans-synaptic signaling (GO:0099537)	63	0	.50	-	 < 0.01	1.00E00	1.00E00
synaptic signaling (GO:0099536)	68	0	.54	-	 < 0.01	1.00E00	1.00E00
regulation of protein oligomerization (GO:0032459)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
endocytic recycling (GO:0032456)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of endocannabinoid signaling pathway (GO:2000124)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of removal of superoxide radicals (GO:2000121)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
protein depropionylation (GO:0106230)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein nucleotidylation (GO:0018175)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
postsynapse to nucleus signaling pathway (GO:0099527)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
translocation of molecules into host (GO:0044417)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
presynaptic dense core vesicle exocytosis (GO:0099525)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein urmylation (GO:0032447)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fructose import (GO:0032445)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of sodium-dependent phosphate transport (GO:2000118)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cysteine-type endopeptidase activity (GO:2000117)	15	0	.12	-	 < 0.01	1.00E00	1.00E00
regulation of cysteine-type endopeptidase activity (GO:2000116)	50	0	.40	-	 < 0.01	1.00E00	1.00E00
positive regulation of macrophage apoptotic process (GO:2000111)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of macrophage apoptotic process (GO:2000110)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle transport along microtubule (GO:0099517)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
actin filament-based transport (GO:0099515)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
adhesion of symbiont to host (GO:0044406)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle cytoskeletal transport (GO:0099514)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
peptidyl-pyrromethane cofactor linkage (GO:0018160)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cAMP catabolic process (GO:0006198)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
AMP catabolic process (GO:0006196)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
purine nucleotide catabolic process (GO:0006195)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
melanosome organization (GO:0032438)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	38	0	.30	-	 < 0.01	1.00E00	1.00E00
negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435)	14	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	57	0	.45	-	 < 0.01	1.00E00	1.00E00
regulation of macrophage apoptotic process (GO:2000109)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of leukocyte apoptotic process (GO:2000108)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
activation of phospholipase A2 activity (GO:0032431)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of leukocyte apoptotic process (GO:2000107)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of phospholipase A2 activity (GO:0032430)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
tRNA C3-cytosine methylation (GO:0106217)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of leukocyte apoptotic process (GO:2000106)	21	0	.17	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA-dependent DNA replication (GO:2000105)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA-dependent DNA replication (GO:2000104)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
protein oxidation (GO:0018158)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of presynaptic cytosolic calcium ion concentration (GO:0099509)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle cycle (GO:0099504)	26	0	.21	-	 < 0.01	1.00E00	1.00E00
'de novo' IMP biosynthetic process (GO:0006189)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
IMP biosynthetic process (GO:0006188)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
vesicle fusion to plasma membrane (GO:0099500)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
dGDP biosynthetic process (GO:0006185)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of phospholipase A2 activity (GO:0032429)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
polar body extrusion after meiotic divisions (GO:0040038)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of fibroblast growth factor receptor signaling pathway (GO:0040037)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
GTP biosynthetic process (GO:0006183)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of fibroblast growth factor receptor signaling pathway (GO:0040036)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
cGMP biosynthetic process (GO:0006182)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of mismatch repair (GO:0032425)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of development, heterochronic (GO:0040034)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA-mediated gene silencing by inhibition of translation (GO:0040033)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of mismatch repair (GO:0032423)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
snRNA modification (GO:0040031)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
peptide cross-linking (GO:0018149)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
keratan sulfate biosynthetic process (GO:0018146)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleic acid-protein covalent cross-linking (GO:0018143)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein-DNA covalent cross-linking (GO:0018142)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
GMP biosynthetic process (GO:0006177)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
dATP biosynthetic process (GO:0006175)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lysosome localization (GO:0032418)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
positive regulation of sodium:proton antiporter activity (GO:0032417)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ADP biosynthetic process (GO:0006172)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cAMP biosynthetic process (GO:0006171)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of sodium:proton antiporter activity (GO:0032415)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
dAMP biosynthetic process (GO:0006170)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of ion transmembrane transporter activity (GO:0032414)	28	0	.22	-	 < 0.01	1.00E00	1.00E00
negative regulation of ion transmembrane transporter activity (GO:0032413)	22	0	.18	-	 < 0.01	1.00E00	1.00E00
regulation of ion transmembrane transporter activity (GO:0032412)	70	0	.56	-	 < 0.01	1.00E00	1.00E00
positive regulation of transporter activity (GO:0032411)	30	0	.24	-	 < 0.01	1.00E00	1.00E00
regulation of meiotic nuclear division (GO:0040020)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of transporter activity (GO:0032410)	23	0	.18	-	 < 0.01	1.00E00	1.00E00
heterocycle biosynthetic process (GO:0018130)	280	0	2.23	-	 < 0.01	1.68E-01	1.00E00
AMP biosynthetic process (GO:0006167)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside salvage (GO:0006166)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of embryonic development (GO:0040019)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
nucleoside diphosphate phosphorylation (GO:0006165)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of transporter activity (GO:0032409)	73	0	.58	-	 < 0.01	1.00E00	1.00E00
positive regulation of multicellular organism growth (GO:0040018)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
purine nucleotide biosynthetic process (GO:0006164)	48	0	.38	-	 < 0.01	1.00E00	1.00E00
purine nucleotide metabolic process (GO:0006163)	99	0	.79	-	 < 0.01	1.00E00	1.00E00
embryonic cleavage (GO:0040016)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of multicellular organism growth (GO:0040015)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of multicellular organism growth (GO:0040014)	19	0	.15	-	 < 0.01	1.00E00	1.00E00
melanosome transport (GO:0032402)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
establishment of melanosome localization (GO:0032401)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
melanosome localization (GO:0032400)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
protein hydroxylation (GO:0018126)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
peptidyl-cysteine methylation (GO:0018125)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine ADP-ribosylation (GO:0018120)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
deoxyadenosine catabolic process (GO:0006157)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of growth rate (GO:0040009)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of growth (GO:0040008)	188	0	1.50	-	 < 0.01	4.02E-01	1.00E00
adenosine catabolic process (GO:0006154)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
growth (GO:0040007)	102	0	.81	-	 < 0.01	1.00E00	1.00E00
purine nucleoside catabolic process (GO:0006152)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
establishment of mitotic spindle localization (GO:0040001)	15	0	.12	-	 < 0.01	1.00E00	1.00E00
peptidyl-cysteine S-nitrosylation (GO:0018119)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein adenylylation (GO:0018117)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of response to endoplasmic reticulum stress (GO:1905898)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
positive regulation of cellular response to tunicamycin (GO:1905896)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitotic spindle checkpoint signaling (GO:0071174)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular response to tunicamycin (GO:1905895)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
spindle assembly checkpoint signaling (GO:0071173)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of cellular response to tunicamycin (GO:1905894)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of cellular response to thapsigargin (GO:1905893)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular response to thapsigargin (GO:1905892)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cellular response to thapsigargin (GO:1905891)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
deoxyinosine catabolic process (GO:0006149)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inosine catabolic process (GO:0006148)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to hydrostatic pressure (GO:0051599)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
meiotic recombination checkpoint signaling (GO:0051598)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to methylmercury (GO:0051597)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
