




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	15_Muscle_DeAndDiuGenes.txt (Homo sapiens)
Reference List:	Muscle_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Muscle_Background_AllMultiIsoGenes.txt - REFLIST (4513)	15_Muscle_DeAndDiuGenes.txt (6)	15_Muscle_DeAndDiuGenes.txt (expected)	15_Muscle_DeAndDiuGenes.txt (over/under)	15_Muscle_DeAndDiuGenes.txt (fold Enrichment)	15_Muscle_DeAndDiuGenes.txt (raw P-value)	15_Muscle_DeAndDiuGenes.txt (FDR)
tRNA 2'-phosphotransferase activity (GO:0000215)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA-intron endonuclease activity (GO:0000213)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NAD+ diphosphatase activity (GO:0000210)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
intraciliary transport particle B binding (GO:0120170)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ceramidase activity (GO:0102121)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
snRNA binding (GO:0017069)	21	0	.03	-	 < 0.01	1.00E00	1.00E00
N-terminal myristoylation domain binding (GO:0031997)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
thioesterase binding (GO:0031996)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
single-strand selective uracil DNA N-glycosylase activity (GO:0017065)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
insulin-like growth factor II binding (GO:0031995)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
BRE binding (GO:0042835)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
fatty acid amide hydrolase activity (GO:0017064)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
insulin-like growth factor I binding (GO:0031994)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidoglycan binding (GO:0042834)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
flavonoid binding (GO:0097243)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
S-methyl-5-thioadenosine phosphorylase activity (GO:0017061)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
deaminase activity (GO:0019239)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
centromeric DNA binding (GO:0019237)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
[acetyl-CoA carboxylase] kinase activity (GO:0050405)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hypoxia-inducible factor-asparagine oxygenase activity (GO:0102113)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
testosterone dehydrogenase (NAD+) activity (GO:0047035)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA-7-methylguanine glycosylase activity (GO:0043916)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
beta-catenin destruction complex binding (GO:1904713)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
6-phosphogluconolactonase activity (GO:0017057)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
structural constituent of nuclear pore (GO:0017056)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
histone deacetylase binding (GO:0042826)	43	0	.06	-	 < 0.01	1.00E00	1.00E00
icosanoid transmembrane transporter activity (GO:0071714)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
proteasome binding (GO:0070628)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
calcium-dependent ATPase activity (GO:0030899)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
homocarnosine synthase activity (GO:0102102)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
IkappaB kinase activity (GO:0008384)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mechanosensitive ion channel activity (GO:0008381)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
mRNA (adenine-N1-)-methyltransferase activity (GO:0061953)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peptide hormone binding (GO:0017046)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
immune receptor activity (GO:0140375)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol binding (GO:0035091)	88	0	.12	-	 < 0.01	1.00E00	1.00E00
Wnt-activated receptor activity (GO:0042813)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
N-acylsphingosine amidohydrolase activity (GO:0017040)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Formylglycine-generating oxidase activity (GO:0120147)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sulfatide binding (GO:0120146)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
thioredoxin peroxidase activity (GO:0008379)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
galactosyltransferase activity (GO:0008378)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
acetylgalactosaminyltransferase activity (GO:0008376)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
acetylglucosaminyltransferase activity (GO:0008375)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
intermediate filament binding (GO:0019215)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
O-acyltransferase activity (GO:0008374)	21	0	.03	-	 < 0.01	1.00E00	1.00E00
sialyltransferase activity (GO:0008373)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
deacetylase activity (GO:0019213)	21	0	.03	-	 < 0.01	1.00E00	1.00E00
cholest-5-ene-3-beta,7-alpha-diol 3-beta-dehydrogenase activity (GO:0047016)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatase inhibitor activity (GO:0019212)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
deubiquitinase activity (GO:0101005)	48	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphatase activator activity (GO:0019211)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
kinase inhibitor activity (GO:0019210)	25	0	.03	-	 < 0.01	1.00E00	1.00E00
sterol-4-alpha-carboxylate 3-dehydrogenase (decarboxylating) activity (GO:0047012)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
vitamin D receptor binding (GO:0042809)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
fucose binding (GO:0042806)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
actinin binding (GO:0042805)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
protein homodimerization activity (GO:0042803)	203	0	.27	-	 < 0.01	1.00E00	1.00E00
mineralocorticoid receptor binding (GO:0031962)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone methyltransferase activity (H3-K4 specific) (GO:0042800)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclic-GMP-AMP transmembrane transporter activity (GO:0140360)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
kinase activator activity (GO:0019209)	39	0	.05	-	 < 0.01	1.00E00	1.00E00
phosphatase regulator activity (GO:0019208)	50	0	.07	-	 < 0.01	1.00E00	1.00E00
kinase regulator activity (GO:0019207)	78	0	.10	-	 < 0.01	1.00E00	1.00E00
nucleoside kinase activity (GO:0019206)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleobase-containing compound kinase activity (GO:0019205)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
carbohydrate phosphatase activity (GO:0019203)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
amino acid kinase activity (GO:0019202)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
carbohydrate kinase activity (GO:0019200)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
ABC-type transporter activity (GO:0140359)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
P-type transmembrane transporter activity (GO:0140358)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
very long-chain fatty acid-CoA ligase activity (GO:0031957)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
medium-chain fatty acid-CoA ligase activity (GO:0031956)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
TBP-class protein binding (GO:0017025)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
myosin binding (GO:0017022)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
GTPase activator activity (GO:0005096)	99	0	.13	-	 < 0.01	1.00E00	1.00E00
myosin phosphatase regulator activity (GO:0017020)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cysteine-type endopeptidase activity involved in execution phase of apoptosis (GO:0097200)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
GTPase inhibitor activity (GO:0005095)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
Rho GDP-dissociation inhibitor activity (GO:0005094)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Rab GDP-dissociation inhibitor activity (GO:0005093)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GDP-dissociation inhibitor activity (GO:0005092)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA binding involved in posttranscriptional gene silencing (GO:0150100)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
retinoic acid binding (GO:0001972)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
gamma-glutamylaminecyclotransferase activity (GO:0061929)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II CTD heptapeptide repeat kinase activity (GO:0008353)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
MAP kinase tyrosine/serine/threonine phosphatase activity (GO:0017017)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
methylated histone binding (GO:0035064)	38	0	.05	-	 < 0.01	1.00E00	1.00E00
phosphatidylserine flippase activity (GO:0140346)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylcholine flippase activity (GO:0140345)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylserine transfer activity (GO:0140343)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
fibronectin binding (GO:0001968)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
guanyl-nucleotide exchange factor activity (GO:0005085)	89	0	.12	-	 < 0.01	1.00E00	1.00E00
G-protein alpha-subunit binding (GO:0001965)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
protein kinase C binding (GO:0005080)	20	0	.03	-	 < 0.01	1.00E00	1.00E00
MAP kinase kinase kinase kinase activity (GO:0008349)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidyl-asparagine 3-dioxygenase activity (GO:0036140)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerophospholipid flippase activity (GO:0140333)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
MAP-kinase scaffold activity (GO:0005078)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
activin-activated receptor activity (GO:0017002)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-histidine dioxygenase activity (GO:0036139)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
kynurenine aminotransferase activity (GO:0036137)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
high voltage-gated calcium channel activity (GO:0008331)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
dihydroceramide kinase activity (GO:0102773)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein tyrosine/threonine phosphatase activity (GO:0008330)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
kinesin binding (GO:0019894)	14	0	.02	-	 < 0.01	1.00E00	1.00E00
13-prostaglandin reductase activity (GO:0036132)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
floppase activity (GO:0140328)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
flippase activity (GO:0140327)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
ATPase-coupled intramembrane lipid transporter activity (GO:0140326)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
aspartyltransferase activity (GO:0047690)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
solute:anion antiporter activity (GO:0140323)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
transmembrane receptor protein tyrosine kinase adaptor activity (GO:0005068)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
methyl-CpG binding (GO:0008327)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
protein phosphatase regulator activity (GO:0019888)	39	0	.05	-	 < 0.01	1.00E00	1.00E00
protein kinase regulator activity (GO:0019887)	70	0	.09	-	 < 0.01	1.00E00	1.00E00
protein transmembrane transporter activity (GO:0008320)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
BMP binding (GO:0036122)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquitin ligase inhibitor activity (GO:1990948)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein transporter activity (GO:0140318)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
histone acetyltransferase binding (GO:0035035)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
histone deacetylase regulator activity (GO:0035033)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
structural constituent of postsynaptic actin cytoskeleton (GO:0098973)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
molecular sequestering activity (GO:0140313)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cargo adaptor activity (GO:0140312)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
protein sequestering activity (GO:0140311)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peroxisome matrix targeting signal-1 binding (GO:0005052)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein prenyltransferase activity (GO:0008318)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
very-long-chain enoyl-CoA reductase activity (GO:0102758)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NADPH phosphatase activity (GO:0102757)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
7S RNA binding (GO:0008312)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
double-stranded DNA 3'-5' exodeoxyribonuclease activity (GO:0008311)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
single-stranded DNA 3'-5' exodeoxyribonuclease activity (GO:0008310)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
arachidonate-CoA ligase activity (GO:0047676)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
sodium channel inhibitor activity (GO:0019871)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
potassium channel inhibitor activity (GO:0019870)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
splicing factor binding (GO:1990935)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear export signal receptor activity (GO:0005049)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
intramembrane lipid transporter activity (GO:0140303)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
signal sequence binding (GO:0005048)	20	0	.03	-	 < 0.01	1.00E00	1.00E00
mRNA N6-methyladenosine dioxygenase activity (GO:1990931)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
signal recognition particle binding (GO:0005047)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
chemorepellent activity (GO:0045499)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynaptic neurotransmitter receptor activity (GO:0098960)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
KDEL sequence binding (GO:0005046)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
scavenger receptor activity (GO:0005044)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
low-density lipoprotein particle receptor activity (GO:0005041)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
double-stranded DNA exodeoxyribonuclease activity (GO:0008309)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
voltage-gated anion channel activity (GO:0008308)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
structural constituent of muscle (GO:0008307)	22	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol hexakisphosphate 5-kinase activity (GO:0000832)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
inositol hexakisphosphate 6-kinase activity (GO:0000831)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
chloride channel inhibitor activity (GO:0019869)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA binding, bending (GO:0008301)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase regulator activity (GO:0035014)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
long-chain-alcohol oxidase activity (GO:0046577)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acetylpyruvate hydrolase activity (GO:0018773)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
death receptor activity (GO:0005035)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
osmosensor activity (GO:0005034)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
methylthioribulose 1-phosphate dehydratase activity (GO:0046570)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
amino acid binding (GO:0016597)	12	0	.02	-	 < 0.01	1.00E00	1.00E00
tumor necrosis factor-activated receptor activity (GO:0005031)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
thienylcyclohexylpiperidine binding (GO:0016596)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol heptakisphosphate kinase activity (GO:0000829)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
neurotrophin receptor activity (GO:0005030)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
glutamate binding (GO:0016595)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol hexakisphosphate kinase activity (GO:0000828)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
glycine binding (GO:0016594)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol-1,3,4,5,6-pentakisphosphate kinase activity (GO:0000827)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
inositol tetrakisphosphate 6-kinase activity (GO:0000825)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol hexakisphosphate binding (GO:0000822)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquitin-like protein conjugating enzyme binding (GO:0044390)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
calcium channel inhibitor activity (GO:0019855)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
allyl-alcohol dehydrogenase activity (GO:0047655)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
1-phosphatidylinositol-4-phosphate 3-kinase activity (GO:0035005)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase activity (GO:0035004)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta receptor activity, type II (GO:0005026)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta receptor activity, type I (GO:0005025)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta-activated receptor activity (GO:0005024)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
vascular endothelial growth factor-activated receptor activity (GO:0005021)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquitin-like protein ligase binding (GO:0044389)	114	0	.15	-	 < 0.01	1.00E00	1.00E00
small protein activating enzyme binding (GO:0044388)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
formate transmembrane transporter activity (GO:0015499)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
diacylglycerol diphosphate phosphatase activity (GO:0000810)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cation:cation antiporter activity (GO:0015491)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
glutathione binding (GO:0043295)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA binding (GO:0019843)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
vitamin binding (GO:0019842)	33	0	.04	-	 < 0.01	1.00E00	1.00E00
isoprenoid binding (GO:0019840)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
platelet-derived growth factor beta-receptor activity (GO:0005019)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
platelet-derived growth factor alpha-receptor activity (GO:0005018)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
platelet-derived growth factor-activated receptor activity (GO:0005017)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
macrophage colony-stimulating factor receptor activity (GO:0005011)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
insulin-like growth factor-activated receptor activity (GO:0005010)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
non-sequence-specific DNA binding, bending (GO:0044378)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cholesterol binding (GO:0015485)	22	0	.03	-	 < 0.01	1.00E00	1.00E00
RISC complex binding (GO:1905172)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
phospholipase A2 inhibitor activity (GO:0019834)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alanine-oxo-acid transaminase activity (GO:0047635)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ADP-ribose diphosphatase activity (GO:0047631)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
insulin-activated receptor activity (GO:0005009)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hepatocyte growth factor-activated receptor activity (GO:0005008)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
fibroblast growth factor-activated receptor activity (GO:0005007)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
epidermal growth factor-activated receptor activity (GO:0005006)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transmembrane-ephrin receptor activity (GO:0005005)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GPI-linked ephrin receptor activity (GO:0005004)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ephrin receptor activity (GO:0005003)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transmembrane receptor protein tyrosine phosphatase activity (GO:0005001)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
ATPase-coupled cation transmembrane transporter activity (GO:0019829)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
rRNA (adenine-N6-)-methyltransferase activity (GO:0008988)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
aspartic-type endopeptidase inhibitor activity (GO:0019828)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phospholipase binding (GO:0043274)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
adenosine 3',5'-bisphosphate transmembrane transporter activity (GO:0071077)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
GDP-Man:Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase activity (GO:0102704)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxygen sensor activity (GO:0019826)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
CTPase activity (GO:0043273)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxygen binding (GO:0019825)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
eukaryotic initiation factor eIF2 binding (GO:0071074)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-glutamate O-methyltransferase activity (GO:0008983)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
structural constituent of postsynaptic density (GO:0098919)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
S-formylglutathione hydrolase activity (GO:0018738)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
structural constituent of synapse (GO:0098918)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
adenosine-phosphate deaminase activity (GO:0047623)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
acylpyruvate hydrolase activity (GO:0047621)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acylglycerol kinase activity (GO:0047620)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acetylcholine receptor activity (GO:0015464)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphopentomutase activity (GO:0008973)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acyl-CoA hydrolase activity (GO:0047617)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
phospholipase A1 activity (GO:0008970)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
putrescine binding (GO:0019810)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lysophosphatidic acid acyltransferase activity (GO:0042171)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
glucosyltransferase activity (GO:0046527)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
acetylspermidine deacetylase activity (GO:0047611)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
xylosylprotein 4-beta-galactosyltransferase activity (GO:0046525)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-4,5-bisphosphate 4-phosphatase activity (GO:0034597)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol phosphate 4-phosphatase activity (GO:0034596)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
MHC class Ib protein binding, via antigen binding groove (GO:0023030)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol phosphate 5-phosphatase activity (GO:0034595)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol trisphosphate phosphatase activity (GO:0034594)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol bisphosphate phosphatase activity (GO:0034593)	14	0	.02	-	 < 0.01	1.00E00	1.00E00
potassium channel regulator activity (GO:0015459)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
oxidoreduction-driven active transmembrane transporter activity (GO:0015453)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
spermidine binding (GO:0019809)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
polyamine binding (GO:0019808)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-transporting ATPase activity (GO:0015450)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
aspartoacylase activity (GO:0019807)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
bromide peroxidase activity (GO:0019806)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
SH2 domain binding (GO:0042169)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
acetylputrescine deacetylase activity (GO:0047609)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phospho-N-acetylmuramoyl-pentapeptide-transferase activity (GO:0008963)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acetylcholine binding (GO:0042166)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
neurotransmitter binding (GO:0042165)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
telomeric DNA binding (GO:0042162)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
MHC class Ib protein binding (GO:0023029)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
MHC class II protein complex binding (GO:0023026)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
MHC class Ib protein complex binding (GO:0023025)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
MHC class I protein complex binding (GO:0023024)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oligopeptide transmembrane transporter activity (GO:0035673)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
MHC protein complex binding (GO:0023023)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin-dependent protein serine/threonine kinase regulator activity (GO:0016538)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
superoxide dismutase copper chaperone activity (GO:0016532)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
